1666101461320000020,"1 870 000,00 ",06.05.2020,20.12.2021,Электронный аукцион,УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ ЕКАТЕРИНБУРГУ,АЗИКОВА ТАТЬЯНА СЕРГЕЕВНАИндивидуальный предприниматель,6661014613,667476788471,20.09.2017,"['620000, Свердловская обл., Екатеринбург, Колхозников,59А скл 7']",7-922-2215144,molprodukt@bk.ru,56.29.19.000,1
1666101464516000407,"1 164 958,35 ",28.11.2016,31.01.2017,Электронный аукцион,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УРАЛЬСКОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""","Общество с ограниченной ответственностью ""ФишМастер""",6661014645,7805607841,26.11.2012,"['198184, Санкт-Петербург, Канонерский остров, д. 22, литер А, помещение 4-Н']",7-812-4445681,fish-master-spb@yandex.ru,10.20.25.113,Консервы рыбные
3663201059719000010,"1 393 549,05 ",08.05.2019,31.12.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ГОРОДСКОЙ ДОМ КУЛЬТУРЫ""","Общество с ограниченной ответственностью «СеровРемонтСтрой» (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРОВРЕМОНТСТРОЙ"")",6632010597,6680002902,11.09.2013,"['624992, ОБЛ СВЕРДЛОВСКАЯ 66, Г СЕРОВ, УЛ КОРОЛЕНКО, 8, 9']",8953-60-38712,kirizleev.s@mail.ru,43.91.19.110,Работы строительные по устройству любых видов кровельных покрытий зданий и сооружений
1666101464520000276,"4 306 524,96 ",31.08.2020,01.11.2020,Электронный аукцион,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УРАЛЬСКОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТАЛОНМАРКЕТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТАЛОНМАРКЕТ"")",6661014645,5404032085,28.03.2016,"['630073, ОБЛ НОВОСИБИРСКАЯ 54, Г НОВОСИБИРСК, ПР-КТ КАРЛА МАРКСА, ДОМ 57, ОФИС 511']",8-383-2484900,etalonmarket54@mail.ru,,Маски-респираторы медицинские KN95 по ТУ 32.99.11-002-44248853-2020 РУ № РЗН 2020/11146
2666001041520000080,"1 617 295,68 ",28.01.2020,31.03.2020,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДФАРМ""",6660010415,9701065838,28.02.2017,"['105082, Г МОСКВА, УЛ ПОЧТОВАЯ Б., ДОМ 36, СТРОЕНИЕ 9, ОФИС 420']",7-495-1031434,tender@medfarm.su,21.20.10.214,"Финголимод	Несклер	капсулы 0,5 мг 28 шт. - флакон (1) - пачки картонные	Перв.Уп.Пр. АО ""МираксБиоФарма"", Россия; Вып.к.Втор.Уп.Акционерное общество ""Исследовательский Институт Химического Разнообразия"" (АО ""ИИХР""), Россия"
2666208106618000144,"2 893 308,00 ",07.08.2018,31.10.2018,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ООО ""АРСЕНАЛ И К""",6662081066,6672241600,15.07.2015,"['623702, Российская Федерация, Свердловская обл., г. Березовский, пр-кт. Александровский, 3, ОКАТО: 65412000000']",+7(9220)214143,-,68.10.11.000,"Приобретение жилых помещений на территории г.Березовского Свердловской области для детей-сирот и детей, оставшихся без попечения родителей,  лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013 г. № 129..."
2665800155817000032,"11 875 300,00 ",09.03.2017,31.12.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ЗДАНИЯМИ ПРАВИТЕЛЬСТВА СВЕРДЛОВСКОЙ ОБЛАСТИ""","Публичное акционерное общество междугородной и международной электрической связи ""Ростелеком""",6658001558,7707049388,09.09.2002,"['191002, Санкт-Петербург г, ул.Достоевского, д.15']",+73452599558,salimova-aa@ural.rt.ru,33.14.19.000,Техническое обслуживание  оборудования областного узла электросвязи
1666202299116000002,"1 156 515,77 ",08.02.2016,31.03.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ЕКАТЕРИНБУРГСКИЙ ГОСУДАРСТВЕННЫЙ АКАДЕМИЧЕСКИЙ ТЕАТР ОПЕРЫ И БАЛЕТА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ПОТЁМКИН"" (ООО ""ПК ""ПОТЕМКИН"")",6662022991,6678046772,21.08.2014,"['620141, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул АРТИНСКАЯ, 12 В, ОФИС 9']",7-343-2681959,pkpotemkin@mail.ru,25.99.99.000,Работы по изготовлению металлоконструкций декораций
3663300573716000001,"1 114 488,00 ",19.02.2016,31.12.2016,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБРАЗОВАНИЯ ГОРОДСКОГО ОКРУГА СУХОЙ ЛОГ""","Общество с ограниченной ответственностью ""Газпромнефть-Корпоративные продажи""",6633005737,5259033080,30.10.2013,"['Поставщик:191014 г.Санкт-Петербург, ул.Парадная, 3 корп. 1', 'Грузоотправитель:620100 г.Екатеринбург, Сибирский тракт, 12 строение 7, оф.104']",7-34376-55790,Rukaleeva.NN@gpncard.ru,19.20.21.100,Поставка бензина АИ-95
3662300672419000002,"1 327 546,82 ",24.09.2019,31.12.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ШАХМАТНО-ШАШЕЧНЫЙ ЦЕНТР""",Шалин Сергей ЕвгеньевичИндивидуальный предприниматель,6623006724,662336134960,27.11.2014,"['622049, РФ Свердловская область, г. Нижний Тагил, ул. Дружинина д. 59 корпус 2 кв. 105']",7-922-2243939,pst040@mail.ru,43.39.19.190,"Ремонт в помещениях МБУ ДО ""Шахматно-шашечный центр"" по адресу: пр-т Ленинградский, д.103"
3665802140219000169,"1 929 712,91 ",26.08.2019,31.12.2020,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА № 2 ИМЕНИ А.А.МИСЛАВСКОГО""","Общество с ограниченной ответственностью ""ПКФ ""Комета""",6658021402,6671037480,21.03.2016,"['620146, г. Екатеринбург, ул. Ясная, 35']",(343) 231-80-22,dok@pkf-kometa.com,21.20.23.111,Щелочной моющий раствор
3660100969719000002,"5 802 800,00 ",08.02.2019,27.12.2019,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МУГАЙСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛОСИСТЕМЫ"" МАХНЁВСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ (МУП ""ТЕПЛОСИСТЕМЫ"")",6601009697,6677003649,24.04.2013,"['624621, обл СВЕРДЛОВСКАЯ 66, р-н АЛАПАЕВСКИЙ, пгт МАХНЕВО, ул ГОРОДОК КАРЬЕРА, 17Б']",7-950-6367351,teplomahn@mail.ru,35.30.11.120,"Энергия тепловая, отпущенная котельными"
3661100477918000004,"1 052 706,02 ",06.04.2018,31.12.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ИРБИТ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 1""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОМБИНАТ ШКОЛЬНОГО И СТУДЕНЧЕСКОГО ПИТАНИЯ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ИРБИТ (МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОМБИНАТ ШКОЛЬНОГО И СТУДЕНЧЕСКОГО ПИТАНИЯ""МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ИРБИТ)",6611004779,6611001062,01.09.2011,"['623856, ОБЛ СВЕРДЛОВСКАЯ 66, Г ИРБИТ, УЛ ПЕРВОМАЙСКАЯ, 39']",7-34355-65894,kombinat_irbit@mail.ru,56.29.19.000,оказание услуг по организации горячего питания учащихся во время образовательного процесса
3665200427016000020,"2 702 879,54 ",06.07.2016,22.07.2016,Электронный аукцион,Администрация Арамильского городского округа,Общество с ограниченной ответственностью «СтройАльянс»,6652004270,7204175523,29.11.2011,"['625007, г. Тюмень, ул. 30 лет Победы, 27, кор. 1, оф. 205']",8-3452-750485,katherine878@mail.ru,24.20.13.160,Поставка труб для подготовки к отопительному сезону 2016-2017 годов
1660300848019000025,"1 388 381,17 ",14.08.2019,30.10.2019,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""РЕФТИНСКОЕ СПЕЦИАЛЬНОЕ УЧЕБНО-ВОСПИТАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЗАКРЫТОГО ТИПА""",Вернер Александр ГеннадьевичИндивидуальный предприниматель,6603008480,660301071987,17.08.2011,"['624260, Свердловская обл., г. Асбест, ул. Черемшанская 4-ая, д.13']",7-34365-74292,masterplast-pmk@mail.ru,42.21.22.130,Работы строительные по прокладке местных трубопроводов газа и пара
3665837473618000040,"2 475 000,00 ",24.09.2018,31.12.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ УСЛУГ""",Индивидуальный предприниматель Агафонов Алексей Сергеевич,6658374736,662104144090,31.05.2016,"['620043, г. Екатеринбург, ул. Репина, д. 95, оф. 226']",89221448292,reforma-ekb@bk.ru,62.02.30.000,"Оказание услуги по развитию автоматизированной информационной системы ""Электронная очередь"" с интеграцией с WEB-порталом"
3663901147018000024,"1 070 695,73 ",24.07.2018,22.08.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ БЕЛОЯРСКОГО ГОРОДСКОГО ОКРУГА ""ОТДЕЛ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА, ГАЗИФИКАЦИИ И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА""","Общество с ограниченной ответственностью ""МОНОЛИТ""",6639011470,6683007698,11.12.2014,"['624030, обл СВЕРДЛОВСКАЯ 66, рп БЕЛОЯРСКИЙ, ул КАЛИНИНА, 76В']",8-912-2412580,79122412580@yandex.ru,43.22.11.190,"Замена  водопровода по ул. Советская, с. Бруснятское"
3660500549218000017,"1 314 584,00 ",12.03.2018,31.05.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА БОГДАНОВИЧ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗЧИКА""",АВАКЯН ДЖИВАН ЕГИШЕЕВИЧИндивидуальный предприниматель,6605005492,665400035805,17.04.2006,"['623530, ОБЛ СВЕРДЛОВСКАЯ, Г БОГДАНОВИЧ, УЛ ДЕКАБРИСТОВ, 68, 1']",7-922-2040621,zorina-sv@bk.ru,42.11.10.129,"Выполнение работ по ремонту  участков автомобильных дорог по ул. Первомайская и ул. 8 Марта, обустройство горизонтальных площадок на подходах к железнодорожным переездам"
1666101464520000120,"3 175 853,00 ",21.04.2020,01.10.2020,Электронный аукцион,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УРАЛЬСКОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНКТЕЛЕКОМ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНКТЕЛЕКОМ"")",6661014645,7202201175,01.08.2014,"['625002, ОБЛ ТЮМЕНСКАЯ 72, Г ТЮМЕНЬ, УЛ НЕМЦОВА, 4, -, 5']",7-922-4710604,trank@ttktrank.ru,26.30.30.000,"Комплект оборудования для модернизации и дооснащения сети имеющихся АТС ""Коралл-Р"""
3662601467418000005,"8 250 000,00 ",13.04.2018,01.10.2018,Открытый конкурс,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОРОДСКОГО ХОЗЯЙСТВА"" ПОЛЕВСКОГО ГОРОДСКОГО ОКРУГА","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ РЕМОНТУ"" (ООО ""УКР"")",6626014674,6678027586,08.04.2013,"['620050, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул ЧЕРВОННАЯ, 19, 122']",7-343-3782525,ukr-ekb@yandex.ru,71.12.12.000,Выполнение работ на проектирование объекта «Общеобразовательная школа на 1000 мест в мкр. Зеленый Бор-2 в городе Полевском Свердловской области»
3663000230417000007,"2 307 200,00 ",22.06.2017,31.08.2017,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""","Общество с ограниченной ответсвенностью ""Ремонтно-эксплуатационная компания"" (ООО ""РЭК"")",6630002304,6681000496,16.04.2012,"['624200, Свердловская область, г.Лесной, Технический проезд, дом №9, корп.1']",7-950-6329320,rek_lesnoy@mail.ru,42.11.20.000,Благоустройство улицы Дорожный проезд (от перекрестка ул.Нагорная до дороги МКР-8)
1667135626017000086,"6 934 100,00 ",22.09.2017,30.12.2017,Электронный аукцион,ВОЕННОЕ СЛЕДСТВЕННОЕ УПРАВЛЕНИЕ СЛЕДСТВЕННОГО КОМИТЕТА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ЦЕНТРАЛЬНОМУ ВОЕННОМУ ОКРУГУ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛТРЕЙД"" (ООО «УралТрейд»)",6671356260,6672283657,30.10.2008,"['620085, г. Екатеринбург, ул. 8 Марта, д.207/2 оф.502']",7-343-3852522,office@rus-office.net,32.30.14.129,поставка товаров спортивных
1666901375616000028,"15 508 970,27 ",01.02.2016,01.04.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 12 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД"" ИМЕНИ Ф.Э. ДЗЕРЖИНСКОГО""",6669013756,6623029538,31.03.2008,"['622007, обл СВЕРДЛОВСКАЯ 66, г НИЖНИЙ ТАГИЛ, ш ВОСТОЧНОЕ, 28']",7-3435-345293,uvz-15@rambler.ru,28.15.10.114,"поставка сырья, материалов"
3667700132020000053,"1 793 333,00 ",17.08.2020,31.12.2020,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОРОДСКИМ ХОЗЯЙСТВОМ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХЛИДЕР""",6677001320,7451421276,10.04.2017,"['454053, Российская Федерация,  ОБЛ ЧЕЛЯБИНСКАЯ,  Г ЧЕЛЯБИНСК,  УЛ ЗЛАТОУСТОВСКАЯ,  ДОМ 6, ОФИС 403']",7-951-77-56885,alleggattorr@mail.ru,28.30.23.110,Приобретение бывшего в употреблении колесного трактора Т-150 (или эквивалент)
2666208106620000168,"16 450 500,00 ",21.12.2020,30.09.2022,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""УРАЛСТРОЙ""",6662081066,6685177945,24.08.2020,"['620026, ОБЛ СВЕРДЛОВСКАЯ, Г ЕКАТЕРИНБУРГ, УЛ БЕЛИНСКОГО, СТР 39, ОФИС 903']",79826666802,urb-k@mail.ru,68.10.11.000,1
2666801753218000002,"2 212 313,87 ",25.01.2018,31.12.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ  ""НИЖНЕТАГИЛЬСКАЯ ШКОЛА-ИНТЕРНАТ, РЕАЛИЗУЮЩАЯ АДАПТИРОВАННЫЕ ОСНОВНЫЕ ОБЩЕОБРАЗОВАТЕЛЬНЫЕ ПРОГРАММЫ""","НИЖНЕТАГИЛЬСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""НИЖНЕТАГИЛЬСКИЕ ТЕПЛОВЫЕ СЕТИ""",6668017532,6623075742,03.02.2011,"['622002, Свердловская область, г. Нижний Тагил, ул. Черных, д. 16']",8-3435-230106,post@nt-ts.ru,35.30.11.120,Тепловая энергия
3666100295317000056,"1 238 544,60 ",08.11.2017,31.12.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМЕНИ В.Ф.КАПИНОСА""","Закрытое акционерное общество ""Фирма ЕВРОСЕРВИС""",6661002953,7731241639,28.08.1996,"['121357, Российская Федерация, г. Москва, ул. Вересаева, д.8']",7-495-7894619,auction@euro-service.ru,21.20.10.131,Клексан®
1666300920020000045,"1 495 794,31 ",09.11.2020,31.12.2020,"Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ  УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬПИНА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬПИНА"")",6663009200,6683015995,22.10.2019,"['620014, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ МАЛЫШЕВА, СТРОЕНИЕ 5, ОФИС 917']",7-922-1188840,pr_alpinizm@mail.ru,43.91.19.110,Выполнение работ по капитальному ремонту кровли
1666001327919000054,"1 780 632,52 ",04.02.2019,31.12.2019,Электронный аукцион,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ - СВЕРДЛОВСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ФОНДА СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,"ООО ""МЕДЦЕНТР"" (ООО ""МЕДЦЕНТР"")",6660013279,6658490524,17.08.2016,"['620014, г.Екатеринбург, ул. Юмашева,12, 1 А']",73432894930,ooo.medtsentr@mail.ru,17.22.12.130,Впитывающие простыни (пеленки) размером 60 х 60 см
1667033496216000491,"1 755 426,94 ",21.11.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННОЕ СТРАТЕГИЧЕСКОЕ КОМАНДОВАНИЕ ЦЕНТРАЛЬНОГО ВОЕННОГО ОКРУГА""","КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МИНУСИНСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА"" (КГБУЗ ""МИНУСИНСКАЯ МБ"")",,2455036156,14.05.2015,"['662606, КРАЙ КРАСНОЯРСКИЙ 24, Г МИНУСИНСК, УЛ БОТАНИЧЕСКАЯ, ДОМ 2 ""А""']",0-000-000000,/@mail.ru,86.10.15.000,"Об оказании медицинской помощи  (медицинских услуг)  военнослужащим и гражданам,"
3667600248018000004,"1 185 000,00 ",29.12.2017,31.12.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СЛОБОДО-ТУРИНСКОЕ ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6676002480,5612042824,22.05.2014,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-3433-558388,sesb@ies-holding.com,82.91.12.000,Услуги агентств по сбору платежей
3661500026016000003,"1 150 000,00 ",16.07.2016,31.12.2016,Электронный аукцион,АДМИНИСТРАЦИЯ КАЧКАНАРСКОГО ГОРОДСКОГО ОКРУГА,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛО-СИБИРСКАЯ ГЕО-ИНФОРМАЦИОННАЯ КОМПАНИЯ"" (АО ""УСГИК"")",6615000260,6658441615,25.09.2013,"['620034, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул ОПАЛИХИНСКАЯ, 27, КВ. 59']",8-343-2199599,unknown@email.ru,74.20.24.000,"оказание услуг по внедрению и наполнению подсистемы ""Фотограмметрия"" в автоматизированную информационную систему обеспечения градостроительной деятельности"
3661902603720000006,"1 669 460,17 ",22.06.2020,31.12.2020,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АЧИТСКОГО ГОРОДСКОГО ОКРУГА ""СЛУЖБА ПО РАБОТЕ С НАСЕЛЕНИЕМ ""СОВЕТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГО-АРСЕНАЛ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГО-АРСЕНАЛ"")",6619026037,6674369395,29.09.2014,"['620142, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ МАШИННАЯ, 3 А, 78']",8-343-2220199,2220199@arsenal-e.ru,27.12.22.000,Шкаф управления освещением на напряжение не более 1 кВ
2661900214920000152,"1 035 000,00 ",10.04.2020,31.12.2020,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""КРАСНОУФИМСКАЯ РАЙОННАЯ БОЛЬНИЦА""",КОКОВИН МИХАИЛ ЮРЬЕВИЧИндивидуальный предприниматель,6619002149,661900117760,29.09.2017,"['ОБЛ СВЕРДЛОВСКАЯ, Г КРАСНОУФИМСК,']",79022790910,lekar-kruf@mail.ru,49.32.11.000,Оказание транспортных услуг по перевозке пациентов с ХПН на процедуру гемодиализа
2666208106616000077,"1 285 482,00 ",28.09.2016,30.12.2016,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ООО ""СУ ВТГРЭС""",6662081066,6616006219,18.11.2002,"['624162, Российская Федерация, Свердловская обл., г. Верхний Тагил, ул. Лесная, дом 19 , 2, ОКАТО: 65453503000']",+7(34357)23502,suvtgs@rambler.ru,68.10.11.000,"Приобретение жилого помещения на территории г.Асбеста  Свердловской области для детей-сирот и детей, оставшихся без попечения родителей,  лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013 г. № 1296-П..."
